Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE
175,Richard Lanyon,5,4,1,166,69,55.33,2,0,147.06
176,Joe Cranfield,15,14,4,163,40,16.3,0,0,80
177,P Stevenson,10,10,2,163,49,20.38,0,0,59.18
178,a- Dunmall,18,13,3,161,45,16.1,0,0,27.86
179,Malin Wade,29,21,7,160,19,11.43,0,0,132.43
180,Zac Smith,51,29,10,159,29,8.37,0,0,26.79
181,P Kimber,8,7,1,158,41,26.33,0,0,-
182,Duncan Lane,18,14,4,157,44,15.7,0,0,0
183,J Morgan,12,11,2,157,40,17.44,0,0,-
184,Greg Townes,13,12,0,157,41,13.08,0,0,0
185,T Dunmall,7,6,3,154,82,51.33,1,0,-
186,R Ridgeway,7,6,3,153,51,51,1,0,77.78
187,E- Meadows,5,4,0,149,69,37.25,1,0,-
188,Mattias Brinker,21,17,3,146,31,10.43,0,0,64.04
189,C- Jones,5,5,2,146,55,48.67,1,0,-
190,O Mathias,4,4,0,146,111,36.5,0,1,-
191,Simon Shaw,13,12,0,145,44,12.08,0,0,-
192,D- Rattenbury,11,11,0,144,60,13.09,1,0,-
193,Ash Daniel,8,8,2,143,33,23.83,0,0,68.16
194,Oliver Belam,28,23,3,140,27,7,0,0,44.87
195,Jamie King,12,11,0,139,62,12.64,1,0,40.58
196,Hugh Cameron-Jenkins,29,21,7,134,21,9.57,0,0,71.53
197,Jonah Ducker,24,22,2,133,27,6.65,0,0,79.37
198,Amir Saddiqui,14,13,1,132,21,11,0,0,-
199,- Edwards,4,3,1,132,61,66,2,0,-
200,G Penny,4,4,0,131,82,32.75,1,0,-
201,R- Ridgeway,12,12,1,130,35,11.82,0,0,-
202,S- Obank,4,4,1,130,83,43.33,1,0,57.99
203,- Marchant,6,6,1,130,60,26,1,0,-
204,Lawrence Crumbie,33,27,10,129,16,7.59,0,0,-
205,Kamran Munawar,18,18,1,128,25,7.53,0,0,48.41
206,M Hamid,21,13,3,126,25,12.6,0,0,57.89
207,Joseph Covey,11,9,2,126,27,18,0,0,75.45
208,Dan Peart,10,10,2,126,49,15.75,0,0,107.69
209,Stanley Miles,17,15,5,124,33,12.4,0,0,66.14
210,Angelo Shepherd,10,7,1,124,68,20.67,1,0,102.86
211,P- Charman,8,7,0,123,35,17.57,0,0,-
212,O- Barclay,9,6,0,122,65,20.33,1,0,-
213,Isaac Lister,23,18,3,120,25,8,0,0,55.44
214,Martin Smithers,26,20,8,119,42,9.92,0,0,26.92
215,R Carloss,5,5,0,119,77,23.8,1,0,-
216,D Wright,6,6,2,117,52,29.25,1,0,-
217,Rowan Thomas,8,7,2,117,35,23.4,0,0,-
218,J- Imms,5,5,0,117,62,23.4,1,0,40
219,M- Dench,3,3,0,115,57,38.33,2,0,-
220,Sage Dillon,10,9,2,113,35,16.14,0,0,52.24
221,T- Tobin,7,5,0,113,46,22.6,0,0,-
222,Josh Kelly,24,15,3,111,22,9.25,0,0,111.39
223,Chris Brown,9,8,2,111,33,18.5,0,0,36.36
224,Andrew McRae,8,5,0,110,61,22,1,0,45.83
225,M- Ridgway,4,3,1,109,63,54.5,1,0,72.09
226,D Jordon,3,3,0,109,57,36.33,1,0,39.13
227,Barney Stewart,23,17,4,108,28,8.31,0,0,64.86
228,S Patel,3,3,1,108,60,54,1,0,86.05
229,Maeva Hudson,35,20,4,107,16,6.69,0,0,73.33
230,a- Mayne,5,5,1,107,51,26.75,1,0,140.63
231,H Cannon,3,3,0,107,57,35.67,1,0,160
232,D- Ralf,15,10,2,105,26,13.13,0,0,73.33
233,Freddie Ware,24,17,4,104,24,8,0,0,35.04
234,M Lawry,7,6,1,104,46,20.8,0,0,48.11
235,Dan Ryan,30,24,3,102,22,4.86,0,0,50
236,Andy Mayne,15,9,2,100,32,14.29,0,0,76.19
237,Keith Campsie,8,7,1,99,35,16.5,0,0,7.69
238,Rhys Belam,9,9,0,99,22,11,0,0,68.75
239,Harvey Carrington,27,17,10,98,18,14,0,0,61.24
240,Michael Pellman,19,11,2,97,33,10.78,0,0,25.44
241,Doug Ledgerwood,5,3,0,97,63,32.33,1,0,-
242,Luke Nell,22,13,5,96,19,12,0,0,48.78
243,A Munrow,5,5,1,96,47,24,0,0,-
244,Charlie Richards,6,5,0,96,74,19.2,1,0,160
245,G Dnu-Towners,7,5,0,95,40,19,0,0,55.56
246,Samuel Cormack,11,10,3,94,28,13.43,0,0,60
247,Alex Jones,25,22,1,94,24,4.48,0,0,15
248,M- Edwards,8,5,3,93,41,46.5,0,0,56.76
249,Dan Phillips,16,14,2,93,36,7.75,0,0,50
250,Dimal Patel,7,7,1,93,43,15.5,0,0,34
251,David Gange,9,8,1,93,34,13.29,0,0,5.88
252,Jack Waite,20,14,1,93,30,7.15,0,0,52.04
253,Charles Hastewell - Woodman,3,3,0,93,49,31,0,0,-
254,- Linden,8,8,1,92,51,13.14,1,0,-
255,Dan Huggett,44,19,5,91,19,6.5,0,0,92.86
256,Alexander Lowe,25,20,11,90,31,10,0,0,25
257,P Tipping,4,4,1,89,53,29.67,1,0,-
258,- Spooner,3,3,0,89,43,29.67,0,0,-
259,Oliver Cutmore,7,6,2,88,33,22,0,0,83.81
260,Luke Daniels,13,12,1,88,41,8,0,0,0
